path,pH
close_seg\6\6K--22-_jpg.rf.663142c881758efb4de932c91a7b479a.jpg,6
close_seg\6\6k--75-_jpg.rf.42aa04547265d5890c7b5a05b509386c.jpg,6
close_seg\6\6F--23-_jpg.rf.338da0e01de039e7b7322934331d7fe8.jpg,6
close_seg\6\6F--44-_jpg.rf.1521f3dad55c9c68fd22c9db79f6ba37.jpg,6
close_seg\6\6k--13-_jpg.rf.47db8c03884b63f6b6f5340e249696fc.jpg,6
close_seg\6\6K--93-_jpg.rf.c605f32c6b6de385dbcbb6493114936d.jpg,6
close_seg\6\6K--28-_jpg.rf.5d375894a5b12de984c53303236ec301.jpg,6
close_seg\6\6K--14-_jpg.rf.665af055c7f7f99055669fe3f5001145.jpg,6
close_seg\6\69--9-_jpg.rf.748cb967474bd35b965ce1a7026339eb.jpg,6
close_seg\6\6k--15-_jpg.rf.b4f52a79ffaf2f5043294122bb44409c.jpg,6
close_seg\6\6F--20-_jpg.rf.e4fd1e4ca0a1e6ff5c6929409ba0b7e2.jpg,6
close_seg\6\6K--45-_jpg.rf.a58f5fd2572e1b7a788dfc0da8578f7b.jpg,6
close_seg\6\48--2-_jpg.rf.359941d6090c8bb897457b2b8b00501b.jpg,6
close_seg\6\6k--95-_jpg.rf.0e9a0ff084bab63583d77b6d985e495e.jpg,6
close_seg\6\6F--42-_jpg.rf.4b1b3831336fdcffc93986cbece159d1.jpg,6
close_seg\6\6k--96-_jpg.rf.cfe459dde845d7220280a81ee56eca00.jpg,6
close_seg\6\6K--53-_jpg.rf.febf865f75216cc54602098307a887fd.jpg,6
close_seg\6\6K--21-_jpg.rf.2abbace565722f5d3c078702c66a0f2c.jpg,6
close_seg\6\6k--32-_jpg.rf.7fea9fa2d890854a54d9093ab65b4325.jpg,6
close_seg\6\6k--45-_jpg.rf.fa34c2eb56061f62a17c596d377029e4.jpg,6
close_seg\6\6k--42-_jpg.rf.13d9f751fdea25309714f0458a9eade1.jpg,6
close_seg\6\6K--96-_jpg.rf.8fa90419e649b753d5dfa5dd3eb02177.jpg,6
